Epoch,Train_Net1,Test_Net1,Train_Net2,Test_Net2,Train_Net3,Test_Net3,Train_Net4,Test_Net4,Train_Net5,Test_Net5,Train_Net6,Test_Net6,Train_Net7,Test_Net7,Train_Net8,Test_Net8,Train_Net9,Test_Net9,Train_Net10,Test_Net10
1,0.066257480,0.068475824,0.055004342,0.056769221,0.050844906,0.052431347,0.038519057,0.039613435,0.029870970,0.030610493,0.077993182,0.080741252,0.076282238,0.078889069,0.077363263,0.079922432,0.069359123,0.071579763,0.057407844,0.059000416
2,0.027344699,0.028092949,0.017414324,0.017819826,0.016545901,0.016892106,0.010828203,0.010989262,0.008998060,0.009068876,0.077320055,0.080042382,0.070242273,0.072585480,0.072374172,0.074724931,0.035206146,0.036145272,0.011745677,0.011937745
3,0.009244341,0.009364801,0.007243955,0.007282275,0.007348985,0.007370717,0.005644141,0.005625898,0.005368884,0.005318256,0.075837690,0.078504059,0.045434581,0.046780169,0.050360815,0.051834310,0.008614853,0.008660697,0.004351083,0.004323658
4,0.005166834,0.005154369,0.005025769,0.004980313,0.005039121,0.004991670,0.004453601,0.004395839,0.004498211,0.004420771,0.071238092,0.073726310,0.010899270,0.011053760,0.013387928,0.013605208,0.004737572,0.004670865,0.003484012,0.003435740
5,0.003942465,0.003898519,0.004307727,0.004239403,0.004222465,0.004161186,0.004040418,0.003973761,0.004205353,0.004121041,0.052977170,0.054739180,0.004610411,0.004570023,0.005006653,0.004974672,0.003891182,0.003825135,0.003165464,0.003120452
6,0.003428511,0.003376649,0.003972944,0.003898349,0.003822964,0.003761654,0.003832772,0.003766095,0.004066480,0.003981195,0.017716223,0.018145043,0.003503652,0.003449815,0.003402721,0.003356651,0.003501254,0.003446592,0.002950532,0.002912645
7,0.003142439,0.003090202,0.003759518,0.003684620,0.003567788,0.003510878,0.003694975,0.003631368,0.003975756,0.003891857,0.005889283,0.005917511,0.003075328,0.003028059,0.002822012,0.002783029,0.003241428,0.003197819,0.002785062,0.002753997
8,0.002950769,0.002901070,0.003593759,0.003521209,0.003376678,0.003325714,0.003588487,0.003528970,0.003903348,0.003821938,0.003390070,0.003374755,0.002812195,0.002774090,0.002506895,0.002476401,0.003047437,0.003012837,0.002651856,0.002626700
9,0.002808820,0.002762673,0.003453008,0.003384034,0.003222373,0.003177642,0.003500019,0.003444726,0.003840281,0.003761872,0.002585731,0.002565179,0.002625952,0.002596254,0.002306970,0.002283711,0.002893973,0.002866646,0.002541785,0.002521766
10,0.002697579,0.002655163,0.003329401,0.003264485,0.003093092,0.003054300,0.003423558,0.003372255,0.003783595,0.003708373,0.002226714,0.002205458,0.002486668,0.002464004,0.002171095,0.002153612,0.002767731,0.002746475,0.002449308,0.002433825
11,0.002607054,0.002568233,0.003219348,0.003158558,0.002982267,0.002948912,0.003355649,0.003307992,0.003732053,0.003660022,0.002036622,0.002015401,0.002378751,0.002361936,0.002074973,0.002062100,0.002661064,0.002645032,0.002370736,0.002359308
12,0.002531308,0.002495864,0.003120559,0.003063759,0.002885674,0.002857234,0.003294058,0.003249707,0.003684908,0.003615973,0.001925591,0.001904555,0.002293010,0.002281139,0.002005106,0.001995953,0.002569264,0.002557814,0.002303434,0.002295663
13,0.002466567,0.002434280,0.003031289,0.002978260,0.002800421,0.002776425,0.003237277,0.003195939,0.003641569,0.003575588,0.001856370,0.001835586,0.002223640,0.002216016,0.001953292,0.001947176,0.002489247,0.002481866,0.002245432,0.002240977
14,0.002410313,0.002380982,0.002950146,0.002900653,0.002724454,0.002704494,0.003184269,0.003145702,0.003601522,0.003538336,0.001811123,0.001790624,0.002166758,0.002162822,0.001914248,0.001910628,0.002418880,0.002415144,0.002195200,0.002193767
15,0.002360796,0.002334241,0.002876015,0.002829837,0.002656259,0.002639985,0.003134306,0.003098315,0.003564321,0.003503772,0.001780420,0.001760215,0.002119635,0.002118926,0.001884426,0.001882866,0.002356624,0.002356166,0.002151524,0.002152851
16,0.002316758,0.002292813,0.002808000,0.002764940,0.002594690,0.002581794,0.003086870,0.003053293,0.003529575,0.003471514,0.001758910,0.001738990,0.002080280,0.002082408,0.001861368,0.001861511,0.002301313,0.002303816,0.002113421,0.002117276
