Epoch,Train_Net1,Test_Net1,Train_Net2,Test_Net2,Train_Net3,Test_Net3,Train_Net4,Test_Net4,Train_Net5,Test_Net5,Train_Net6,Test_Net6,Train_Net7,Test_Net7,Train_Net8,Test_Net8,Train_Net9,Test_Net9,Train_Net10,Test_Net10
1,0.02120983282142613,0.021129010603970714,0.018813647716637637,0.01871342606398243,0.015810819818657378,0.01586773679940032,0.014134497908811468,0.014081708512038327,0.015324257398050335,0.015524967056582049,0.02533448409227837,0.025330782181405977,0.025510516227144956,0.025486805129440182,0.023911544628210463,0.023962486610947093,0.022721398015290703,0.022700467721768175,0.022016312522072416,0.021931485367759816
2,0.013776234434114578,0.01374575010187705,0.010618329717517899,0.010569387581845021,0.007518624157881889,0.007578787809955926,0.005832457863333927,0.005788909335701007,0.006642771775295013,0.006720718101612145,0.02516864171114379,0.025176630068477056,0.02527374086253642,0.02524786129821214,0.022030347159725915,0.02210069270314936,0.01702668534867247,0.017085160213641513,0.014588433199171235,0.014542414525444053
3,0.006136553822062635,0.006125599206644759,0.004817456508021477,0.004789445231232004,0.003467901632103903,0.0034415184381135205,0.0027242545211155077,0.0026886951511422234,0.003024749565844063,0.002994357377086399,0.024897073783322274,0.02492035189965469,0.02495711117375663,0.02492786991662795,0.018274190441579085,0.018373822315854903,0.00851621085997471,0.008578752407857744,0.005745597107602571,0.005729329678613437
4,0.0029679293857691864,0.002930003918790964,0.0026644115387892656,0.002619578175454907,0.002255260839140531,0.002190773841804163,0.0019314297961214111,0.0018949427334951886,0.0020645941378394784,0.0020060706989674043,0.024407702354486815,0.024452599647130643,0.024450904233752985,0.024416128352505506,0.012091724880615912,0.012199462047286736,0.0033862039727233376,0.0033562583712245047,0.002463772877837701,0.0024259467636290376
5,0.002110351679444627,0.002055534683481727,0.002023762346680519,0.0019696208758771365,0.0019139011639543258,0.0018460092661885313,0.0017296787561873316,0.001691580121773223,0.001825146351361753,0.001766468111205658,0.02344600715049235,0.023523297886519617,0.02352377540230372,0.023479921320785253,0.006046645312156815,0.006077905476484879,0.002024985313155807,0.0019595794719143634,0.0018607339658030643,0.0018144726712739632
6,0.001878310266186339,0.0018201440725004923,0.0018079071114103604,0.001753803554183719,0.0018025901096326974,0.001740019259403677,0.0016626251745258038,0.001624105230934119,0.0017576064266107733,0.0017032216994313533,0.02144425933217408,0.021569247806380525,0.02165642968754485,0.02159968170203575,0.003127704448267598,0.003072020040578874,0.0016909351862229042,0.0016291794726833013,0.0017374374756345939,0.0016929624309751422
7,0.001797485259160964,0.0017409758790305236,0.001705982367074231,0.0016555187426512776,0.0017535911459413168,0.0016963868588383345,0.0016271686690351942,0.0015891684169551331,0.001731244586293312,0.0016803544300338549,0.017439104644933364,0.01761584245972694,0.017826190375238422,0.01775985216370137,0.0021504062948299795,0.0020676620338144856,0.0015530908910456615,0.0015003809790149441,0.0016834920089513613,0.0016419226310571515
8,0.0017545997123721844,0.0017006978939452708,0.0016386321513019518,0.0015924223479046866,0.0017227679928295604,0.0016693842644395927,0.0016006326053586506,0.0015636508269908126,0.0017151475629342918,0.001666516744313149,0.011245122248881337,0.011406953143525252,0.011338979188410064,0.011282113952580124,0.0017662059125285632,0.0016874238989728753,0.001461751564244129,0.0014158279419335,0.0016423019347199563,0.001602881635549691
9,0.0017224659114709272,0.0016709218628302087,0.001585511529245455,0.0015431643190507841,0.0016981672968740841,0.0016472817331974492,0.0015779186283291157,0.0015421554436171306,0.0017019305114429684,0.0016547192726561433,0.005745591303473509,0.0057787024504101945,0.005202133947873762,0.005157591110488267,0.0015489761328767442,0.0014805976372260687,0.0013904235655881362,0.0013489480883397947,0.0016061535631149283,0.0015682271866974205
10,0.0016943418559229144,0.001644717935603537,0.0015408141928553538,0.0015017346367330359,0.0016764438304383426,0.0016271995906439842,0.001557685256887245,0.0015231751065792004,0.0016898021669683777,0.0016435354282698165,0.003038557084530844,0.0029692287274546655,0.0024105651388494995,0.0023644135048705864,0.0013979572323002943,0.0013388526080057,0.0013321264168930642,0.0012936537784344767,0.0015735658127774869,0.0015367657961449517
